Time,Close Price,Difference,Return
2015-05-05,"2,089.4600",-25.0300,-1.1837
2015-05-06,"2,080.1500",-9.3101,-0.4456
2015-05-07,"2,088.0000",7.8501,0.3774
2015-05-08,"2,116.1000",28.1001,1.3458
2015-05-11,"2,105.3300",-10.7700,-0.5090
2015-05-12,"2,099.1200",-6.2100,-0.2950
2015-05-13,"2,098.4800",-0.6401,-0.0305
2015-05-14,"2,121.1000",22.6201,1.0779
2015-05-15,"2,122.7300",1.6299,0.0768
2015-05-18,"2,129.2000",6.4700,0.3048
2015-05-19,"2,127.8300",-1.3699,-0.0643
2015-05-20,"2,125.8500",-1.9800,-0.0931
2015-05-21,"2,130.8200",4.9700,0.2338
2015-05-22,"2,126.0600",-4.7600,-0.2234
2015-05-26,"2,104.2000",-21.8601,-1.0282
2015-05-27,"2,123.4800",19.2800,0.9163
2015-05-28,"2,120.7900",-2.6899,-0.1267
2015-05-29,"2,107.3900",-13.4001,-0.6318
2015-06-01,"2,111.7300",4.3401,0.2059
2015-06-02,"2,109.6000",-2.1299,-0.1009
2015-06-03,"2,114.0700",4.4700,0.2119
2015-06-04,"2,095.8400",-18.2300,-0.8623
2015-06-05,"2,092.8300",-3.0100,-0.1436
2015-06-08,"2,079.2800",-13.5500,-0.6474
2015-06-09,"2,080.1500",0.8699,0.0418
2015-06-10,"2,105.2000",25.0500,1.2042
2015-06-11,"2,108.8600",3.6602,0.1739
2015-06-12,"2,094.1100",-14.7500,-0.6994
2015-06-15,"2,084.4300",-9.6802,-0.4623
2015-06-16,"2,096.2900",11.8601,0.5690
2015-06-17,"2,100.4400",4.1499,0.1980
2015-06-18,"2,121.2400",20.8000,0.9903
2015-06-19,"2,109.9900",-11.2500,-0.5304
2015-06-22,"2,122.8500",12.8601,0.6095
2015-06-23,"2,124.2000",1.3499,0.0636
2015-06-24,"2,108.5800",-15.6199,-0.7353
2015-06-25,"2,102.3100",-6.2700,-0.2974
2015-06-26,"2,101.4900",-0.8201,-0.0390
2015-06-29,"2,057.6400",-43.8501,-2.0866
2015-06-30,"2,063.1100",5.4702,0.2658
2015-07-01,"2,077.4200",14.3098,0.6936
2015-07-02,"2,076.7800",-0.6399,-0.0308
2015-07-06,"2,068.7600",-8.0200,-0.3862
2015-07-07,"2,081.3400",12.5801,0.6081
2015-07-08,"2,046.6800",-34.6600,-1.6653
2015-07-09,"2,051.3100",4.6300,0.2262
2015-07-10,"2,076.6200",25.3101,1.2339
2015-07-13,"2,099.6000",22.9800,1.1066
2015-07-14,"2,108.9500",9.3499,0.4453
2015-07-15,"2,107.4000",-1.5500,-0.0735
2015-07-16,"2,124.2900",16.8901,0.8015
2015-07-17,"2,126.6400",2.3499,0.1106
2015-07-20,"2,128.2800",1.6401,0.0771
2015-07-21,"2,119.2100",-9.0701,-0.4262
2015-07-22,"2,114.1500",-5.0601,-0.2388
2015-07-23,"2,102.1500",-12.0000,-0.5676
2015-07-24,"2,079.6500",-22.5000,-1.0703
2015-07-27,"2,067.6400",-12.0100,-0.5775
2015-07-28,"2,093.2500",25.6101,1.2386
2015-07-29,"2,108.5700",15.3201,0.7319
2015-07-30,"2,108.6300",0.0598,0.0028
